"Well","Sample","Weight","Replicate","Time","Hour","PCheck","Plate","fileName","values","MatchValue","CtrlVal","ABStrt_ABSctr","AbsFreshWeight","Genotype","Range","Site"
"A09","W0122",0.0324,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0814,"W0122.0hr",0.0457,0.0357,1.10185185185185,"LIS20","Native","LIS"
"A10","W0514",0.0169,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0804,"W0514.0hr",0.0444,0.036,2.1301775147929,"HIG13-01","Native","HIG"
"A11","W0514",0.0169,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0811,"W0514.0hr",0.0444,0.0367,2.17159763313609,"HIG13-01","Native","HIG"
"A12","W0514",0.0169,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0801,"W0514.0hr",0.0444,0.0357,2.11242603550296,"HIG13-01","Native","HIG"
"B01","W0123",0.0263,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0789,"W0123.0hr",0.0434,0.0355,1.34980988593156,"HIG11-02","Native","HIG"
"B02","W0123",0.0263,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0752,"W0123.0hr",0.0434,0.0318,1.20912547528517,"HIG11-02","Native","HIG"
"B03","W0123",0.0263,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.079,"W0123.0hr",0.0434,0.0356,1.35361216730038,"HIG11-02","Native","HIG"
"B04","W0515",0.0181,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0671,"W0515.0hr",0.0473,0.0198,1.0939226519337,"NARc3-05","Native","NAR"
"B05","W0515",0.0181,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0684,"W0515.0hr",0.0473,0.0211,1.16574585635359,"NARc3-05","Native","NAR"
"B06","W0515",0.0181,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0688,"W0515.0hr",0.0473,0.0215,1.1878453038674,"NARc3-05","Native","NAR"
"B07","W0124",0.0234,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0512,"W0124.0hr",0.0433,0.0079,0.337606837606838,"NARc3-02","Native","NAR"
"B08","W0124",0.0234,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0512,"W0124.0hr",0.0433,0.0079,0.337606837606838,"NARc3-02","Native","NAR"
"B09","W0124",0.0234,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0516,"W0124.0hr",0.0433,0.0083,0.354700854700855,"NARc3-02","Native","NAR"
"B10","W0516",0.004,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0517,"W0516.0hr",0.0445,0.00720000000000001,1.8,"DEB31","Native","DEB"
"B11","W0516",0.004,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0513,"W0516.0hr",0.0445,0.0068,1.7,"DEB31","Native","DEB"
"B12","W0516",0.004,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0519,"W0516.0hr",0.0445,0.0074,1.85,"DEB31","Native","DEB"
"C01","W0127",0.0214,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0504,"W0127.0hr",0.0433,0.0071,0.33177570093458,"LDSc3-07","Native","LDS"
"C02","W0127",0.0214,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0507,"W0127.0hr",0.0433,0.0074,0.345794392523365,"LDSc3-07","Native","LDS"
