"Well","Sample","Weight","Replicate","Time","Hour","PCheck","Plate","fileName","values","MatchValue","CtrlVal","ABStrt_ABSctr","AbsFreshWeight","Genotype","Range","Site"
"E12","W0475",0.0176,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0732,"WO475.0hr",0.0419,0.0313,1.77840909090909,"W65326","Native","Fra2"
"F01","W0476",0.0163,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0666,"WO476.0hr",0.0409,0.0257,1.57668711656442,"DEB32-02","Native","DEB"
"F02","W0476",0.0163,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0659,"WO476.0hr",0.0409,0.025,1.53374233128834,"DEB32-02","Native","DEB"
"F03","W0476",0.0163,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0654,"WO476.0hr",0.0409,0.0245,1.50306748466258,"DEB32-02","Native","DEB"
"F04","W0113",0.0175,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0806,"W0113.0hr",0.0475,0.0331,1.89142857142857,"SAN31-02","Native","SAN"
"F05","W0113",0.0175,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0753,"W0113.0hr",0.0475,0.0278,1.58857142857143,"SAN31-02","Native","SAN"
"F06","W0113",0.0175,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0771,"W0113.0hr",0.0475,0.0296,1.69142857142857,"SAN31-02","Native","SAN"
"F07","W0114",0.0239,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0405,"W0114.0hr",0.0407,-0.000199999999999999,-0.00836820083682003,"W65327","Native","Fra_cor"
"F08","W0114",0.0239,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0403,"W0114.0hr",0.0407,-0.000399999999999998,-0.0167364016736401,"W65327","Native","Fra_cor"
"F09","W0114",0.0239,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0409,"W0114.0hr",0.0407,0.000199999999999999,0.00836820083682003,"W65327","Native","Fra_cor"
"F10","W0478",0.0012,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.1546,"W0478.0hr",0.0408,0.1138,94.8333333333333,"SAN31-01","Native","SAN"
"F11","W0478",0.0012,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.1468,"W0478.0hr",0.0408,0.106,88.3333333333334,"SAN31-01","Native","SAN"
"F12","W0478",0.0012,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.1559,"W0478.0hr",0.0408,0.1151,95.9166666666667,"SAN31-01","Native","SAN"
"G01","W0115",0.0223,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0419,"W0115.0hr",0.0435,-0.0016,-0.0717488789237667,"MUSs2-09","Native","MUS"
"G02","W0115",0.0223,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0445,"W0115.0hr",0.0435,0.001,0.0448430493273543,"MUSs2-09","Native","MUS"
"G03","W0115",0.0223,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0467,"W0115.0hr",0.0435,0.0032,0.143497757847534,"MUSs2-09","Native","MUS"
