Plate_number,Pair_number,Caterpillar,Native_accession,Invasive_accession,Replicate,Before_wtmg_Native,waterloss_correction_Before_Native,After_wtmg_Native,Diff_wtmg_Native,Prop_wtmg_Native,Before_wtmg_Invasive,waterloss_correction_before_Invasive,After_wtmg_Invasive,Diff_wtmg_Invasive,prop_wtmg_Invasive,Setup_date,WinnerTest
123,13,velvetbean,W65396,W65339,3,37.6,18.97319135,14.48,23.12,0.614893617,37.2,18.77134888,9,28.2,0.7580645161,06-16-2022,0.1431708991
124,13,velvetbean,W65396,W65339,2,28.5,14.38127536,0,28.5,1,29.4,14.83542089,0,29.4,1,06-16-2022,0
181,13,soybean,W65396,W65339,1,35.3,17.81259719,13.83,21.47,0.6082152975,42.2,21.29437965,6.07,36.13,0.8561611374,06-16-2022,0.2479458399
182,13,soybean,W65396,W65339,4,37.6,18.97319135,13.76,23.84,0.6340425532,36.3,18.31720335,3.1,33.2,0.914600551,06-16-2022,0.2805579978
183,13,soybean,W65396,W65339,2,38.6,19.4777975,9.98,28.62,0.7414507772,30.5,15.39048766,4.52,25.98,0.8518032787,06-16-2022,0.1103525015
184,13,soybean,W65396,W65339,3,18.1,9.133371366,5.25,12.85,0.7099447514,25.6,12.91791751,2.35,23.25,0.908203125,06-16-2022,0.1982583736
185,13,soybean,W65396,W65339,5,27.7,13.97759043,6.92,20.78,0.7501805054,32.8,16.55108181,3.63,29.17,0.8893292683,06-16-2022,0.1391487629
186,13,soybean,W65396,W65339,6,35.5,17.91351843,5.2,30.3,0.8535211268,33.5,16.90430612,5.21,28.29,0.8444776119,06-16-2022,-0.00904351489999999
187,13,soybean,W65396,W65339,7,24.1,12.16100828,9.05,15.05,0.6244813278,29.6,14.93634212,2.24,27.36,0.9243243243,06-16-2022,0.2998429965
188,13,soybean,W65396,W65339,8,28.2,14.22989351,8.06,20.14,0.7141843972,24.9,12.56469321,7.51,17.39,0.6983935743,06-16-2022,-0.0157908229
125,14,velvetbean,W65424,PI368943,3,26.9,13.57390551,4.59,22.31,0.8293680297,15.4,7.770934753,6.9,8.5,0.5519480519,06-16-2022,-0.2774199778
126,14,velvetbean,W65424,PI368943,4,28.8,14.5326572,4.5,24.3,0.84375,30.4,15.34002705,16.72,13.68,0.45,06-16-2022,-0.39375
127,14,velvetbean,W65424,PI368943,2,13.3,6.711261833,1.17,12.13,0.9120300752,28.1,14.17943289,9,19.1,0.6797153025,06-16-2022,-0.2323147727
