Well,Sample,Time,Weight,Replicate,Hour,PCheck,Plate,fileName,Absorbance,Range,Genotype,Site,StdCurveCalc,DilutionCalc_x10,Protein
G12,W0116,0,0.0085,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.18,Native,NARc3-08,NAR,111.802,1118.02,131531.7647
H01,W0117,0,0.0109,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2347,Native,HIG16-01,HIG,164.19913,1641.9913,150641.4037
H02,W0117,0,0.0109,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2238,Native,HIG16-01,HIG,153.75802,1537.5802,141062.4037
H03,W0117,0,0.0109,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2248,Native,HIG16-01,HIG,154.71592,1547.1592,141941.211
H04,W0118,0,0.0247,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1436,Native,CDCc2-13,CDC,76.93444,769.3444,31147.54656
H05,W0118,0,0.0247,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1385,Native,CDCc2-13,CDC,72.04915,720.4915,29169.69636
H06,W0118,0,0.0247,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1392,Native,CDCc2-13,CDC,72.71968,727.1968,29441.16599
H07,W0119,0,0.0266,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1643,Native,PI478440,Bol,96.76297,967.6297,36377.05639
H08,W0119,0,0.0266,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1606,Native,PI478440,Bol,93.21874,932.1874,35044.6391
H09,W0119,0,0.0266,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1561,Native,PI478440,Bol,88.90819,889.0819,33424.13158
H10,W0120,0,0.0309,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.186,Native,MUSs2-01,MUS,117.5494,1175.494,38041.87702
H11,W0120,0,0.0309,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1835,Native,MUSs2-01,MUS,115.15465,1151.5465,37266.87702
H12,W0120,0,0.0309,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1816,Native,MUSs2-01,MUS,113.33464,1133.3464,36677.87702
A01,W0513,0,0.0055,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1732,Native,CDCc2-06-02,CDC,105.28828,1052.8828,191433.2364
A02,W0513,0,0.0055,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.167,Native,CDCc2-06-02,CDC,99.3493,993.493,180635.0909
A03,W0513,0,0.0055,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1738,Native,CDCc2-06-02,CDC,105.86302,1058.6302,192478.2182
A04,W0121,0,0.0562,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1854,Native,DEB28-02,DEB,116.97466,1169.7466,20813.99644
A05,W0121,0,0.0562,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1911,Native,DEB28-02,DEB,122.43469,1224.3469,21785.53203
A06,W0121,0,0.0562,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1909,Native,DEB28-02,DEB,122.24311,1222.4311,21751.44306
A07,W0122,0,0.0324,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2004,Native,LIS20,LIS,131.34316,1313.4316,40538.01235
A08,W0122,0,0.0324,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1978,Native,LIS20,LIS,128.85262,1288.5262,39769.32716
A09,W0122,0,0.0324,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1978,Native,LIS20,LIS,128.85262,1288.5262,39769.32716
A10,W0514,0,0.0169,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.178,Native,HIG13-01,HIG,109.8862,1098.862,65021.42012
A11,W0514,0,0.0169,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1811,Native,HIG13-01,HIG,112.85569,1128.5569,66778.51479
A12,W0514,0,0.0169,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1837,Native,HIG13-01,HIG,115.34623,1153.4623,68252.2071
B01,W0123,0,0.0263,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.19,Native,HIG11-02,HIG,121.381,1213.81,46152.47148
B02,W0123,0,0.0263,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1883,Native,HIG11-02,HIG,119.75257,1197.5257,45533.29658
B03,W0123,0,0.0263,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.189,Native,HIG11-02,HIG,120.4231,1204.231,45788.25095
B04,W0515,0,0.0181,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1552,Native,NARc3-05,NAR,88.04608,880.4608,48644.24309
B05,W0515,0,0.0181,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1571,Native,NARc3-05,NAR,89.86609,898.6609,49649.77348
B06,W0515,0,0.0181,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1552,Native,NARc3-05,NAR,88.04608,880.4608,48644.24309
B07,W0124,0,0.0234,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1642,Native,NARc3-02,NAR,96.66718,966.6718,41310.76068
B08,W0124,0,0.0234,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1655,Native,NARc3-02,NAR,97.91245,979.1245,41842.92735
B09,W0124,0,0.0234,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1647,Native,NARc3-02,NAR,97.14613,971.4613,41515.44017
B10,W0516,0,0.004,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1554,Native,DEB31,DEB,88.23766,882.3766,220594.15
B11,W0516,0,0.004,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1582,Native,DEB31,DEB,90.91978,909.1978,227299.45
B12,W0516,0,0.004,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1595,Native,DEB31,DEB,92.16505,921.6505,230412.625
C01,W0127,0,0.0214,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2463,Native,LDSc3-07,LDS,175.31077,1753.1077,81920.92056
C02,W0127,0,0.0214,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.236,Native,LDSc3-07,LDS,165.4444,1654.444,77310.46729
C03,W0127,0,0.0214,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2199,Native,LDSc3-07,LDS,150.02221,1500.2221,70103.83645
C04,W0128,0,0.0456,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1888,Native,SAN20-05,SAN,120.23152,1202.3152,26366.5614
C05,W0128,0,0.0456,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.184,Native,SAN20-05,SAN,115.6336,1156.336,25358.24561
C06,W0128,0,0.0456,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1825,Native,SAN20-05,SAN,114.19675,1141.9675,25043.14693
C07,W0517,0,0.0181,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.154,Invasive,ARC29-01,ARC,86.8966,868.966,48009.17127
C08,W0517,0,0.0181,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1581,Invasive,ARC29-01,ARC,90.82399,908.2399,50179
C09,W0517,0,0.0181,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1541,Invasive,ARC29-01,ARC,86.99239,869.9239,48062.09392
C10,W0518,0,0.0121,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1662,Native,MUSs2-05,MUS,98.58298,985.8298,81473.53719
C11,W0518,0,0.0121,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1659,Native,MUSs2-05,MUS,98.29561,982.9561,81236.04132
C12,W0518,0,0.0121,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1741,Native,MUSs2-05,MUS,106.15039,1061.5039,87727.59504
D01,W0130,0,0.0258,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2286,Invasive,ARC26,ARC,158.35594,1583.5594,61378.27132
D02,W0130,0,0.0258,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2269,Invasive,ARC26,ARC,156.72751,1567.2751,60747.0969
D03,W0130,0,0.0258,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2265,Invasive,ARC26,ARC,156.34435,1563.4435,60598.58527
D04,W0132,0,0.0376,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1996,Native,CDCc2-04,CDC,130.57684,1305.7684,34727.88298
D05,W0132,0,0.0376,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2143,Native,CDCc2-04,CDC,144.65797,1446.5797,38472.86436
D06,W0132,0,0.0376,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2104,Native,CDCc2-04,CDC,140.92216,1409.2216,37479.29787
D07,W0520,0,0.0239,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1933,Invasive,PI458758,Chi,124.54207,1245.4207,52109.65272
D08,W0520,0,0.0239,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1941,Invasive,PI458758,Chi,125.30839,1253.0839,52430.2887
