AssayID,Herbivore,CatStage,PlantID_Invasive,Genotype_Invasive,Population_Invasive,LfWt_Initial_Invasive,LfWt_Final_Invasive,PlantID_Native,Genotype_Native,Population_Native,LfWt_Initial_Native,LfWt_Final_Native,Pair
S025,Soybean,Looper,W0817,BHI33-07,BHI,0.05839,0.0298,W0271,HIG20-01,HIG,0.11696,0.1087,21
S026,Soybean,Looper,W0361,STA13,STA,0.0527,0.0343,W0364,MIRc1-09,MIR,0.062,0.0343,22
S027,Soybean,Looper,W0289,ARC15,ARC,0.0618,0.0533,W0287,ORB13,ORB,0.0586,0.0252,68
S028,Soybean,Looper,W0291,PI566876,Al_USA,0.0554,0.0324,W0290,SAN37-01,SAN,0.1148,0.1008,24
S029,Soybean,Looper,W0296,SDS1c,SDS,0.0568,0.0332,W0295,SCAc2-12,SCA,0.1126,0.0553,25
S030,Soybean,Looper,W0300,MLR10,MLR,0.0528,0.042,W0304,HIG05-01,HIG,0.1263,0.1142,26
S031,Soybean,Looper,W0301,MEL17,MEL,0.1174,0.0607,W0305,HUE10,HUE,0.79,0.0687,27
S032,Soybean,Looper,W0302,STA14,STA,0.0928,0.0463,W0306,COS11,COS,0.1115,0.0867,28
S033,Soybean,Looper,W0303,DCR10,DCR,0.0984,0.0779,W0307,CAM11,CAM,0.1003,0.0708,29
S036,Soybean,Looper,W0615,BHI33-12,BHI,0.0418,0.0342,W0614,CRG12,CRG,0.0642,0.0542,31
S037,Soybean,Looper,W0620,EMO12,EMO,0.0327,0.0254,W0617,BOL13,BOL,0.0575,0.0521,32
S038,Soybean,Looper,W0622,PEA21,PEA,0.0357,0.0173,W0618,FURc1-12,FUR,0.0916,0.0667,33
S039,Soybean,Looper,W0634,MLR12,MLR,0.0371,0.0303,W0619,CAM13,CAM,0.0832,0.0406,34
S041,Soybean,Looper,W0648,PI577391,CA2_USA,0.0346,0.0268,W0623,CVD13,CVD,0.0616,0.0519,36
S042,Soybean,Looper,W0649,DCR12,DCR,0.0418,0.0232,W0624,RTM18,RTM,0.0544,0.0271,37
S043,Soybean,Looper,W0652,MEL20,MEL,0.0653,0.0501,W0625,DEB14-02,DEB,0.074,0.0564,38
S044,Soybean,Looper,W0772,EMO13,EMO,0.068,0.0483,W0626,HIG25-02,HIG,0.0926,0.0699,39
S046,Soybean,Looper,W0778,PI577392,CA1_USA,0.0548,0.0374,W0771,SAN18-01,SAN,0.1226,0.1027,40
S047,Soybean,Looper,W0780,DCR13,DCR,0.0617,0.0455,W0774,FUSD5,FUS,0.0736,0.0567,41
S048,Soybean,Looper,W0783,SDS2-03,SDS,0.0502,0.0492,W0776,CAM14,CAM,0.0663,0.04,69
S049,Soybean,Looper,W0790,MLR13,MLR,0.1123,0.0818,W0779,DEB15,DEB,0.1057,0.051,42
S050,Soybean,Looper,W0792,ARC20,ARC,0.0659,0.0515,W0781,RTM19,RTM,0.068,0.0541,43
S051,Soybean,Looper,W0272,DCR06,DCR,0.0414,0.0288,W0834,CAR08,CAR,0.1119,0.0548,44
S052,Soybean,Looper,W0466,DCR04,DCR,0.052,0.0362,W0446,LIS03,LIS,0.1686,0.1163,45
S053,Soybean,Looper,W0467,PAL07,PAL,0.0918,0.0357,W0450,HIG19-01,HIG,0.115,0.0801,46
S054,Soybean,Looper,W0349,BHI33-09,BHI,0.0585,0.0097,W0451,PI493291,Portugal,0.0543,0.0483,47
